INFO  - 2021-01-06 17:50:43.592; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 17:53:58.372; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 17:56:13.606; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 17:56:40.605; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 17:58:27.435; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 18:01:01.940; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 18:04:04.314; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 18:04:32.559; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 18:07:44.102; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 18:11:12.832; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-06 18:11:45.370; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-06 18:12:25.968; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:34:54.104; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:35:24.153; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-07 10:39:27.056; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:40:12.759; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:40:45.187; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-07 10:43:03.146; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 10:43:31.648; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 10:43:31.653; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 10:43:46.820; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 10:43:46.826; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 10:44:01.559; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 10:49:55.597; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:50:43.400; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; ---starting SalesForce_TC01--- 
INFO  - 2021-01-07 10:51:19.153; org.PlanCanadaTestAutomation.tests.SalesForce_TC01; --- Finished SalesForce_TC01 ---
INFO  - 2021-01-07 11:02:06.433; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 11:02:28.971; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:02:28.985; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 11:02:44.167; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; --- Finished PlanCanada_TestTribute_TC02_DDT ---
INFO  - 2021-01-07 11:02:44.169; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC02_DDT; ---starting PlanCanada_TestTribute_TC02_DDT--- 
INFO  - 2021-01-07 11:05:23.587; org.PlanCanadaTestAutomation.tests.PlanCanada_TestTribute_TC03; ---starting PlanCanada_TestTribute_TC03--- 
